Brand,Website,ScraperType
Khaadi,https://pk.khaadi.com/from-ramadan-to-eid/ready-to-wear/,generic
Sapphire Pret,https://pk.sapphireonline.pk/collections/rtw-smart-casual|https://pk.sapphireonline.pk/collections/rtw-formal|https://pk.sapphireonline.pk/collections/rtw-shirts|https://pk.sapphireonline.pk/collections/rtw-short-kurti|https://pk.sapphireonline.pk/collections/dupattas-shawls|https://pk.sapphireonline.pk/collections/ready-to-wear-outfits,generic
Limelight Pret,https://www.limelight.pk/collections/women|https://www.limelight.pk/collections/printed-pret|https://www.limelight.pk/collections/western-lounge-wear|https://www.limelight.pk/collections/short-kurti|https://www.limelight.pk/collections/winter-pants,shopify_json
Ethnic by Outfitters,https://pk.ethnc.com/collections/western,shopify_json
Beechtree,https://beechtree.pk/collections/eid-collection,shopify_json
Warda,https://mydrobe.pk/collections/unstitched|https://mydrobe.pk/collections/trouser,shopify_json
Cross Stitch Pret,https://www.crossstitch.pk/collections/eid-lawn-2026|https://www.crossstitch.pk/collections/eid-lawn-2026?gf_82865=SF%20TRT%3A%20DIGITAL%20PRINT&gf_82866=LAWN,shopify_json
Zellbury,https://zellbury.com/collections/essential-summer-pret|https://zellbury.com/collections/2-piece-essential-summer-pret-kt,shopify_json
Kayseria,https://kayseria.com.pk/collections/f-w25-new-arrivals,shopify_json
Rang Rasiya,https://rangrasiya.com.pk/collections/florence-summer-edit-26,shopify_json
Charizma,https://houseofcharizma.com/,generic
Saya,https://saya.pk/collections/ramadan-festive-sale-lawn-khaddar-stitched-coords-up-to-50-off-409921323240,shopify_json
Afrozeh,https://www.afrozeh.com/collections/lawn-in-stock|https://www.afrozeh.com/collections/festive-in-stock|https://www.afrozeh.com/collections/bridal-in-stock,shopify_json
Generation,https://generation.com.pk/collections/anarkali-frock|https://generation.com.pk/collections/formal-frocks|https://generation.com.pk/collections/tops,shopify_json
Bonanza Satrangi,https://bonanzasatrangi.com/collections/ready-to-wear,shopify_json
Nishat Linen,https://nishatlinen.com/collections/women,shopify_json
So Kamal,https://www.sokamal.com/collections/new-arrival-summer-26|https://www.sokamal.com/collections/luxury-eid-pret-2026|https://www.sokamal.com/collections/eid-festive-2026,shopify_json
Zellbury Premium,https://zellbury.com/collections/cross-body-bags,shopify_json
Khaadi Luxe,https://pk.khaadi.com/fabrics/?srule=most-popular&start=0&sz=64,generic
Ethnic Luxe,https://pk.ethnc.com/collections/luxe-2025,shopify_json
Beechtree Luxe,https://beechtree.pk/collections/women,generic
Charizma Luxe,https://houseofcharizma.com/collections/charizma-vasal-vol-02-2026,shopify_json
Rang Rasiya Luxe,https://rangrasiya.com.pk/collections/women,generic
Sapphire Luxe,https://pk.sapphireonline.pk/collections/women,generic
Maria B Pret,https://www.mariab.pk/collections/pret,generic
Warda Luxe,https://warda.com.pk/collections/women,generic
Cross Stitch Premium,https://www.crossstitch.pk/collections/premium-lawn,generic
Limelight Formal,https://www.limelight.pk/collections/women-formal,generic
Khaadi Casual,https://pk.khaadi.com/collections/casual,generic
Sana Safinaz,https://sanasafinaz.com/collections/unstitched-fabric|https://sanasafinaz.com/collections/ready-to-wear|https://sanasafinaz.com/collections/bottoms|https://sanasafinaz.com/collections/luxury-pret|https://sanasafinaz.com/collections/ss-wesst,shopify_json
Gul Ahmed,https://www.gulahmedshop.com/collections/unstitched-fabric|https://www.gulahmedshop.com/collections/lawn-2026,shopify_json
Asim Jofa,https://asimjofa.com/collections/pret|https://asimjofa.com/collections/jewelry|https://asimjofa.com/collections/unstitched,shopify_json
Elan,https://elan.pk/collections/new-arrivals|https://elan.pk/collections/unstitched,shopify_json
Zara Shah Jahan,https://zarashahjahan.com/collections/pret|https://zarashahjahan.com/collections/satori-2026|https://zarashahjahan.com/collections/wedding-unstitched-2025,shopify_json
